	Current Ratio	Quick Ratio	Cash Ratio	Working Capital / Total Assets	Operating Cash Flow per Share	Free Cash Flow Per Share	CFO / Sales	Free Cash Flow (FCF) /Sales	CFO / Total Assets	FCF / Current Liabilities	Debt Ratio	Debt to Equity Ratio	Debt to Capital Ratio	Times Interest Earned Ratio	Equity Multiplier	Retained Earnings / Current Liabilities	Equity/Total Asset	Equity/Fixed Asset	Interest Expense / Debt	Receivables Turnover	Days' Sales Outstanding (DSO) Ratio	Payables Turnover Ratio	Days Payable Outstanding	Fixed Asset Turnover	Sales/Total Asset	Sales Growth	Asset Turnover Ratio	Net Profit Margin	Gross Profit Margin	Operating Margin Ratio	Return on Assets	Return on Equity	Earning Per Share	EBITDA/Total Asset	Equity Growth	Price to Book Ratio	Dividend Yield Ratio	Bankruptcy Status
0	9.12054578053795	5.197842802221273	2.9756970542135424	0.2411212181581102	-1.6934546178973222	-1.7640152269763774	-13.864762868431832	-23.13073698676681	-0.14112121815811018	-4.545318371980471	0.21168182723716528	0.2822424363162204	42.723796832256944	-30.82627049965734	1.874089197560016	-52.940092955599354	0.7294393909209449	150.19392426355338	0.02943939092094492	0.8243029457864575	9834.716596343178	12.351197053406999	9834.716596343178	0.05887878184188983	0.02943939092094492	4565.655324582285	0.05887878184188983	-5511.899307880301	-2438.221640735502	-4516.419493032605	-35.29809176029354	-71.29201826124483	-6.297651771719682	-0.1705606090790551	-42.12474293436031	6.6508272371806525	0.0	1
1	2.8	2.5	1.5	0.3	-5.8	-9.7	-0.1	-0.1	-0.1	-0.8	0.2	0.5	32.7	-0.7	3.01039064576136	0.1	0.3	0.7	0.4	11.6	21.4	17.0	21.4	0.5	0.9	-22.8	0.5	64.7	-0.9	-5.0	35.5	-93.32353409392412	51.0	0.1	8819225.18431286	2.6	0.0	0
2	1.6	1.6	1.0	0.2	0.3	-1.2	0.1	-0.6	0.0	-0.6	0.1	0.2	19.2	103.0	2.5	-0.3	0.4	0.7	0.0	1.2	462.0	0.8	462.0	0.3	0.3	10.7	0.3	2.8	69.9	25.3	0.8	2.0	0.1	0.1	22.3	0.9	0.0	0
3	3.3	3.3	2.9	0.4	1.6	0.4	0.5	0.1	0.4	0.5	0.0	0.0	0.0	-338.1754049676026	1.2	4.0	0.8	2.0	0.2892128279883382	11.3	146.0	2.5	146.0	0.7	0.7	-7.2	0.7	0.3	55.1	48.2	0.2	0.3	0.0	0.4	-7.2	2.4	0.0	0
4	0.4281359691819788	0.4281359691819788	0.0	-0.6796600770450529	0.16406798459098942	-0.2461019768864841	0.03830593065945232	-0.5538980231135159	0.04610197688648415	-0.1	0.5538980231135159	-5.850175506911661	109.66353577425494	-0.8498244930883391	24.143404774983654	-2.4504987935640443	-0.3335581001585688	-0.40542213097659	0.3461019768864841	2.384407907545937	262.455800576458	1.8125438767279156	262.455800576458	0.3461019768864841	0.3	60.200461922507074	0.3461019768864841	-267.69395843186385	21.927221563566704	-7.35578228868593	-51.13042670291961	-1029.6952150029292	-0.5101699614774735	0.12813596918197884	-157.7291335563101	21.632868757259	0.0	1
5	0.6	0.6	0.1	0.0	0.4	-4.0	0.0	-0.4	0.0	-0.9	0.0	0.0	0.0	1.6	2.8	-0.1	0.8	0.9	0.2892128279883382	7.2	11.3	32.3	11.3	0.2	0.2	-1.6	0.2	-1.2	36.0	5.4	-0.2	-0.7	-0.1	0.1	3511.2	0.8	0.0	0
6	0.1	0.1	0.0	-0.4	0.2	0.0	0.6	0.1	0.1	0.1	0.6	1.6	61.0	1.4	2.6	-0.1	0.4	0.4	0.1	4.6	193.4	1.9	193.4	0.2	0.2	-5.5	0.2	-67.0	31.9	22.7	-14.1	-36.4	-0.3	0.2	-30.8	0.2	0.0	0
7	0.2	0.2	0.1	-0.1	0.1	-1.5	0.4	-4.4	0.0	-4.0	0.1	0.1	11.0	-8.8	1.6	-1.1	0.6	0.6	0.2	5.8	118.9	3.1	118.9	0.2	0.1	815.5	0.2	-110.2	48.4	-83.7	-23.9	-37.9	-0.4	-0.1	347.4	2.1	0.0	0
8	1.9	1.3	0.7	0.1	1.9	0.2	0.1	0.0	0.1	0.1	0.3	1.5	60.1	2.1	4.3	0.1	0.4	0.5	0.1	16.4	38.0	9.6	38.0	0.7	0.7	-10.6	0.7	-1.4	13.8	8.7	-0.9	-4.1	-1.8	0.1	-22.6	3.0	0.3	0
9	1.2	1.1	0.7	0.0	0.6	0.2	0.4	0.2	0.1	0.2	0.4	1.4	58.8	-0.7	3.3	-2.5	0.3	0.4	0.1	3.9	111.1	3.3	111.1	0.2	0.2	91.9	0.2	-37.7	-1.3	-12.8	-6.8	-22.5	-0.6	0.1	-17.0	3.0	0.0	0
10	1.1	1.1	0.1	0.0	0.1	-0.5	0.1	-0.4	0.0	-2.9	0.3	0.6	37.4	-8.7	1.9	4.4	0.5	0.6	0.0	6.7	49.4	7.4	49.4	0.1	0.1	-28.6	0.1	-164.3	-13.6	-61.3	-18.3	-35.3	-2.0	0.0	-29.2	0.6	0.0	0
